Id,SalePrice
1461,121995.53914804297
1462,155238.6880010584
1463,186584.3241226656
1464,191592.53622547386
1465,189464.15834913455
1466,176394.12859025085
1467,173561.19631911552
1468,172513.39427857174
1469,174646.35759559384
1470,122189.33710689284
1471,195587.3533520779
1472,94625.04233157405
1473,97387.54394363468
1474,153220.2167214187
1475,134873.381565812
1476,378300.4050623104
1477,258380.7019173348
1478,310946.5235510596
1479,251394.70032073173
1480,482292.15617047076
1481,319978.1257102905
1482,204129.64328918117
1483,172049.312435403
1484,169404.50194021853
1485,177058.0201685194
1486,192460.94561254108
1487,333881.3472912858
1488,222487.34365036257
1489,205069.85849770595
1490,213204.78937030217
1491,186038.31785830186
1492,91495.32892319973
1493,187930.7545513792
1494,287088.18184500124
1495,279973.6622645239
1496,240145.46956790087
1497,182282.12029942044
1498,158556.41348848044
1499,156301.79553076718
1500,157321.2860853193
1501,178934.58690036513
1502,157732.38271259115
1503,291198.66612295073
1504,231256.50828342568
1505,221217.81509336614
1506,184550.77796649444
1507,232086.05971934192
1508,200037.9484519899
1509,165964.66322089863
1510,155124.80375515457
1511,148153.99784615048
1512,171880.522410903
1513,143350.5067176435
1514,162055.13582190018
1515,185595.56724575357
1516,155627.56490068533
1517,158019.2888774135
1518,126024.95643895317
1519,220953.11001668885
1520,138803.22598400226
1521,140098.05842588254
1522,167285.03468550314
1523,115016.60046657154
1524,123188.64304664935
1525,127313.80831304817
1526,118659.33333423591
1527,98447.98490321542
1528,134773.38623263553
1529,149823.54205847275
1530,170336.49972361256
1531,107882.1143552115
1532,100628.85235573197
1533,139736.7123204024
1534,117776.20131450339
1535,155755.9045092729
1536,115037.25472836278
1537,63999.07772332679
1538,166797.09025075912
1539,201916.08410031663
1540,92655.44200418307
1541,141597.6885340982
1542,140402.59007963596
1543,227646.34081048856
1544,74645.68113040001
1545,100741.07438301822
1546,131918.2077823851
1547,140219.3182226895
1548,135639.66300704062
1549,112954.28396067032
1550,146704.142926111
1551,114916.80477608446
1552,122282.4893044667
1553,147348.7445845033
1554,111145.59004566653
1555,171927.34206708122
1556,79704.73770515076
1557,102621.78449049
